YEAR,ADULTS,CALVES,WORMS,PERMITS,PUPS
1955,559,122,0.518194637,24,13
1956,287,67,0.949659584,21,6
1957,459,98,0.536537283,33,13
1958,599,120,1.03170638,35,6
1959,765,158,0.991331957,28,10
1960,340,72,1.051696853,25,5
1961,377,105,0.855395985,18,13
1962,506,106,0.912197999,18,7
1963,530,109,0.903408755,17,5
1964,517,109,1.069999661,22,12
1965,600,107,0.645709674,17,14
1966,554,117,0.763463712,23,8
1967,542,115,1.030373389,35,4
1968,671,139,0.452709509,24,9
1969,627,129,0.656298482,29,14
1970,794,164,0.698258965,19,10
1971,243,50,1.219793421,18,4
1972,337,73,1.088035918,22,3
1973,601,100,0.706918175,24,16
1974,364,81,1.173095887,35,8
1975,550,92,0.66283589,23,5
1976,529,106,0.706463707,21,10
1977,356,72,0.992060874,19,6
1978,699,147,0.91606677,16,11
1979,624,131,0.782483247,22,8
1980,523,113,1.000670371,17,9
1981,358,75,1.03006726,31,8
1982,513,103,1.1062852,16,7
1983,552,111,0.732355948,25,10
1984,530,110,0.746202312,22,12
1985,568,122,0.791631638,18,12
1986,422,97,0.309386903,27,11
1987,581,118,1.006881325,34,9
1988,821,167,0.754643156,21,11
1989,482,102,0.959130925,22,10
1990,541,112,0.871177072,35,7
1991,826,172,0.724820577,28,14
1992,535,109,1.030159509,34,8
1993,526,109,0.56821366,35,12
1994,591,121,0.549350894,30,12
1995,819,167,0.011519542,31,18
1996,693,143,0.859159014,30,9
1997,658,136,1.02040374,20,15
1998,770,158,0.663984479,24,15
2016,234,345,0.8444445,23,19
