moor,drive,nr_shot,totalcount,km2,prev
Grinton,ScottMill,84,300,1.677,2
Snilesworth,DouglasRidge,57,148,1.677,1
Snilesworth,RobinsonsCross,25,148,1.364,1
Grinton,ScottMill,138,300,3.08,3
Danby,Bainleys,39,213,0.81,1
Danby,CommonLane1+2,68,213,1.8225,1
Raby,PikeLaw1,19,145,1.4,1
Raby,PikeLaw1,21,145,1.4,2
Raby,PikeLaw2,14,145,1.145,1
Raby,BC2,25,164,1.222,1
Raby,BC2,12,164,1.222,2
Raby,PikeLaw1,8,145,1.4,3
Raby,PikeLaw1,6,145,1.4,3
Raby,PikeLaw2,7,145,1.145,2
Raby,PikeLaw2,13,145,1.145,3
Raby,Bands1,19,69,2.913,1
Raby,Bands2,22,69,2.419,1
Gunnerside,Blindgill,43,171,1.156,1
Gunnerside,Botchergill,60,475,1.034,1
Snilesworth,DouglasRidge,152,279,1.677,1
Snilesworth,RobinsonsCross,65,279,1.364,1
Snilesworth,DouglasRidge,69,279,1.677,2
Snilesworth,RobinsonsCross,33,279,1.364,2
Grinton,ScottMill,40,396,1.677,3
Gunnerside,Botchergill,40,475,1.034,2
Snilesworth,DouglasRidge,57,279,1.677,3
Snilesworth,RobinsonsCross,15,279,1.364,3
Gunnerside,Blindgill,40,171,1.156,2
Gunnerside,Botchergill,57,475,1.034,3
