ELEVATION,AIR TEMP CORR,SOIL TEMP CORR
650,6,6.2
650.6,4,5.8
651.4,4.5,5.7
655,4.4,5.4
656.8,5,5.7
663.1,3,5.1
698,3.9,5.4
700,1.9,4.9
700,2.9,4.9
701,2.9,5.3
703.5,2.4,4.8
707,3.3,4.9
739.6,1.7,4.9
741.5,1.7,4.4
742,2.7,5.1
742.6,0,3.9
743.9,3.4,5.3
746,3.5,4.5
779,1.9,4.8
779.5,1.1,4.5
779.7,0.7,3.8
780,1.4,4.3
781,1,3.8
784,2.4,3.8
827.8,-0.9,3.8
830,0.1,3.3
832.7,0.1,4.1
833,0.1,4.6
834,-0.3,3.2
839.6,-0.3,4.4
890,-1.1,3.7
894.5,1.4,4.7
892,-1.6,3.7
891.5,-2.8,3.1
893.7,-1.4,3.1
894.4,-0.7,3.3
9400,1,3
941.2,-3.4,2.5
943.5,-2.4,3.7
943.5,-2.3,3.6
947,-1.3,2.9
947.6,-1.6,4.1
1000,-2.2,3.6
1001,-2.4,3
1002,-3.2,3.2
1004,-2.9,2.6
1006,-1,3.9
1006,-2.8,3.2
1102,-5.3,1.2
1105,-3.1,2.9
1106,-5.5,3.5
1109,-5.5,1.7
1111,-4.9,1.6
1113,-4.4,2.8
