ELEVATION,SOIL TEMP CORR,AVE MOISTURE,BARE GRND,RICHNESS,TRANSMISSION
650,6.2,92.87,0,5,0.333333333
650.6,5.8,64.8,0,3,0.278461538
651.4,5.7,78.33,0,5,0.169172932
655,5.4,70.9,0,6,0.158441558
656.8,5.7,81.9,0,7,0.253759398
663.1,5.1,78.43,0,3,0.274074074
698,5.4,100,0,7,0.054464286
700,4.9,95.83,0,5,0.068376068
700,4.9,75.17,0,3,0.19
701,5.3,82.13,0,6,0.08880597
703.5,4.8,81.83,0,5,0.508474576
707,4.9,47.8,0,4,0.228318584
739.6,4.9,74.33,0,3,0.348652932
741.5,4.4,76.63,0,6,0.418372703
742,5.1,70.2,0,4,0.215738758
742.6,3.9,81.97,0,4,0.720867209
743.9,5.3,98.93,8,8,0.663636364
746,4.5,60.67,0,5,0.226537217
779,4.8,41.93,12,9,0.84375
779.5,4.5,70,0,4,0.887096774
779.7,3.8,31.3,0,3,0.839130435
780,4.3,43.97,1,4,1
781,3.8,24.67,4,5,0.6
784,3.8,38.5,0,5,0.911280101
827.8,3.8,26.4,3,4,0.569832402
830,3.3,25.3,1,3,1
832.7,4.1,20.63,10,9,0.732758621
833,4.6,30.7,0,6,0.995583039
834,3.2,29.13,0,4,0.057142857
839.6,4.4,30.8,4,4,1.172839506
890,3.7,57.83,0,4,1
894.5,4.7,75.87,9,8,0.822222222
892,3.7,39.5,0,6,1
891.5,3.1,47.47,0,6,1.060085837
893.7,3.1,48.57,1,5,0.90212766
894.4,3.3,77.43,0,4,0.781632653
940,3,39.2,0,3,0.963157895
941.2,2.5,18.47,10,5,0.856603774
943.5,3.7,8.2,12,4,1.126923077
943.5,3.6,8.8,0,6,1.062745098
947,2.9,16.93,1,3,1
947.6,4.1,14.5,24,7,0.900625
1000,3.6,13.23,0,4,1
1001,3,19.53,3,4,0.965517241
1002,3.2,8.93,0,5,0.953020134
1004,2.6,18.9,1,3,1
1006,3.9,15.57,16,10,1
1006,3.2,9.17,8,1,0.850162866
1102,1.2,14.23,16,2,0.660818713
1105,2.9,30.9,0,6,0.52173913
1106,3.5,15.37,6,5,0.926470588
1109,1.7,23.03,1,4,1
1111,1.6,26.13,23,8,1
1113,2.8,5.67,0,5,1
