Cross,Population,Latitude,JulyMax,JulyMean,OctMin,OctMean,Maternal Fam,Paternal Fam,Sex,ContainerID,Temp,Wet Mass
C18xC1,C,54.89,19.4,14.95,5.7,9,13,1,M,20.1,20,0.01184
C18xC1,C,54.89,19.4,14.95,5.7,9,18,1,F,24.1,24,0.00999
C18xC1,C,54.89,19.4,14.95,5.7,9,18,1,F,24.1,24,0.01206
C18xC1,C,54.89,19.4,14.95,5.7,9,18,1,F,24.2,24,0.00978
C18xC1,C,54.89,19.4,14.95,5.7,9,18,1,F,24.2,24,0.00906
C18xC1,C,54.89,19.4,14.95,5.7,9,18,1,F,24.2,24,0.00935
C18xC1,C,54.89,19.4,14.95,5.7,9,18,1,F,24.2,24,0.00917
C18xC1,C,54.89,19.4,14.95,5.7,9,18,1,M,24.2,24,0.00912
C18xC1,C,54.89,19.4,14.95,5.7,9,18,1,F,24.2,24,0.00825
C18xC1,C,54.89,19.4,14.95,5.7,9,18,1,M,24.2,24,0.0126
C18xC1,C,54.89,19.4,14.95,5.7,9,18,1,F,24.2,24,0.00914
C18xC1,C,54.89,19.4,14.95,5.7,9,18,1,M,24.2,24,0.01022
C18xC1,C,54.89,19.4,14.95,5.7,9,18,1,F,24.2,24,0.00857
C18xC1,C,54.89,19.4,14.95,5.7,9,18,1,F,20.2,20,0.01018
C18xC1,C,54.89,19.4,14.95,5.7,9,18,1,M,20.1,20,0.01646
C18xC1,C,54.89,19.4,14.95,5.7,9,18,1,M,20.1,20,0.01628
C18xC1,C,54.89,19.4,14.95,5.7,9,18,1,M,20.1,20,0.01361
C18xC1,C,54.89,19.4,14.95,5.7,9,18,1,F,20.1,20,0.00913
C18xC1,C,54.89,19.4,14.95,5.7,9,18,1,F,20.1,20,0.01028
C18xC1,C,54.89,19.4,14.95,5.7,9,18,1,F,20.1,20,0.01034
C18xC1,C,54.89,19.4,14.95,5.7,9,18,1,F,16.1,16,0.00996
C18xC1,C,54.89,19.4,14.95,5.7,9,18,1,F,16.1,16,0.00845
C18xC1,C,54.89,19.4,14.95,5.7,9,18,1,F,16.1,16,0.01408
C18xC1,C,54.89,19.4,14.95,5.7,9,18,1,F,16.2,16,0.01282
C18xC1,C,54.89,19.4,14.95,5.7,9,18,1,F,16.2,16,0.01382
C18xC1,C,54.89,19.4,14.95,5.7,9,18,1,F,16.2,16,0.01082
C18xC1,C,54.89,19.4,14.95,5.7,9,18,1,M,16.1,16,0.01738
