REPID,GRP,ELEVATION,PLANT HT,TRANSMISSION
19,FMJOKP,650,36,0.333333333
37,JTCMSY,650.6,27,0.278461538
10,LCAPKH,651.4,26,0.169172932
46,MWCPJC,655,36,0.158441558
1,GCREGW,656.8,32,0.253759398
28,KAJJDM,663.1,26,0.274074074
2,GCREGW,698,43,0.054464286
20,FMJOKP,700,22,0.068376068
29,KAJJDM,700,18,0.19
11,LCAPKH,701,28.5,0.08880597
38,JTCMSY,703.5,23,0.508474576
47,MWCPJC,707,37,0.228318584
30,KAJJDM,739.6,35,0.348652932
12,LCAPKH,741.5,23.5,0.418372703
21,FMJOKP,742,27,0.215738758
39,JTCMSY,742.6,19,0.720867209
3,GCREGW,743.9,21,0.663636364
48,MWCPJC,746,36,0.226537217
4,GCREGW,779,7,0.84375
40,JTCMSY,779.5,10,0.887096774
31,KAJJDM,779.7,8,0.839130435
22,FMJOKP,780,8,1
13,LCAPKH,781,6.8,0.6
49,MWCPJC,784,12.4,0.911280101
32,KAJJDM,827.8,5,0.569832402
23,FMJOKP,830,11,1
5,GCREGW,832.7,3,0.732758621
50,MWCPJC,833,8.9,0.995583039
41,JTCMSY,834,3.4,0.057142857
14,LCAPKH,839.6,15.1,1.172839506
24,FMJOKP,890,10,1
6,GCREGW,894.5,15,0.822222222
42,JTCMSY,892,4,1
33,KAJJDM,891.5,8,1.060085837
15,LCAPKH,893.7,11.3,0.90212766
51,MWCPJC,894.4,9,0.781632653
52,MWCPJC,940,5.5,0.963157895
16,LCAPKH,941.2,9.8,0.856603774
34,KAJJDM,943.5,3.5,1.126923077
43,JTCMSY,943.5,13,1.062745098
25,FMJOKP,947,10,1
7,GCREGW,947.6,8,0.900625
53,MWCPJC,1000,9.5,1
35,KAJJDM,1001,9,0.965517241
44,JTCMSY,1002,5,0.953020134
26,FMJOKP,1004,11,1
8,GCREGW,1006,5,1
17,LCAPKH,1006,6.1,0.850162866
18,LCAPKH,1102,20.2,0.660818713
45,JTCMSY,1105,26,0.52173913
36,KAJJDM,1106,12,0.926470588
27,FMJOKP,1109,20,1
9,GCREGW,1111,4,1
54,MWCPJC,1113,20.5,1
